iter	Passed	Remaining
0	48	48664
1	49	24707
2	50	16777
3	51	12779
4	52	10515
5	53	8882
6	54	7748
7	55	6866
8	56	6179
9	56	5628
10	57	5178
11	58	4806
12	59	4490
13	60	4226
14	60	3992
15	61	3784
16	62	3603
17	63	3441
18	63	3299
19	64	3168
20	65	3052
21	66	2949
22	67	2854
23	68	2765
24	68	2685
25	69	2611
26	70	2542
27	71	2477
28	75	2516
29	75	2456
30	76	2399
31	77	2346
32	78	2297
33	79	2250
34	79	2202
35	80	2158
36	81	2119
37	82	2092
38	83	2057
39	84	2024
40	85	1992
41	85	1960
42	86	1930
43	87	1900
44	88	1870
45	88	1842
46	89	1815
47	92	1824
48	92	1798
49	93	1772
50	93	1747
51	94	1723
52	95	1699
53	95	1676
54	96	1655
55	96	1634
56	97	1615
57	98	1595
58	98	1576
59	99	1557
60	99	1539
61	100	1521
62	101	1503
63	101	1486
64	102	1469
65	102	1453
66	103	1438
67	103	1423
68	104	1408
69	104	1392
70	105	1376
71	105	1362
72	106	1348
73	106	1334
74	107	1320
75	107	1306
76	107	1292
77	108	1279
78	108	1266
79	109	1253
80	109	1241
81	109	1228
82	109	1214
83	110	1203
84	110	1192
85	111	1180
86	111	1168
87	111	1157
88	111	1146
89	112	1135
90	112	1125
91	113	1115
92	113	1105
93	113	1095
94	113	1085
95	114	1076
96	114	1066
97	114	1057
98	115	1048
99	115	1039
100	115	1031
101	116	1023
102	116	1014
103	116	1006
104	117	998
105	117	990
106	117	982
107	118	975
108	118	967
109	118	962
110	119	955
111	119	947
112	119	940
113	120	934
114	120	927
115	120	920
116	121	913
117	121	906
118	121	899
119	121	893
120	122	886
121	122	880
122	122	874
123	122	868
124	123	862
125	123	857
126	123	851
127	124	845
128	124	840
129	124	835
130	125	830
131	125	824
132	125	819
133	126	814
134	126	809
135	126	804
136	127	800
137	127	796
138	127	792
139	128	788
140	128	783
141	128	778
142	129	774
143	129	770
144	129	765
145	130	764
146	131	761
147	131	757
148	131	753
149	132	749
150	132	744
151	132	741
152	133	737
153	133	733
154	133	729
155	134	725
156	134	721
157	134	718
158	135	714
159	135	710
160	135	706
161	135	702
162	136	699
163	136	695
164	136	692
165	137	689
166	137	685
167	137	682
168	138	679
169	138	675
170	138	672
171	139	669
172	139	666
173	139	663
174	139	659
175	140	656
176	140	653
177	140	650
178	141	647
179	141	644
180	141	641
181	142	638
182	142	635
183	142	633
184	143	630
185	143	627
186	143	625
187	144	622
188	144	620
189	144	617
190	145	615
191	145	612
192	146	610
193	146	608
194	146	606
195	147	603
196	147	601
197	147	598
198	148	596
199	148	594
200	148	591
201	149	589
202	149	586
203	149	584
204	150	581
205	150	579
206	150	577
207	150	574
208	151	572
209	151	570
210	151	567
211	152	565
212	152	563
213	152	561
214	153	558
215	153	556
216	153	554
217	154	552
218	154	550
219	154	548
220	155	546
221	155	544
222	155	542
223	155	540
224	156	538
225	156	536
226	156	534
227	157	532
228	157	530
229	157	528
230	158	526
231	158	524
232	158	522
233	159	521
234	159	519
235	159	517
236	160	515
237	160	514
238	160	512
239	161	510
240	161	509
241	162	507
242	162	505
243	162	504
244	163	502
245	163	500
246	163	499
247	164	497
248	164	495
249	164	494
250	165	492
251	165	490
252	165	489
253	165	487
254	166	485
255	166	484
256	166	482
257	167	481
258	167	479
259	168	478
260	168	476
261	168	475
262	169	473
263	169	472
264	169	470
265	170	469
266	170	467
267	170	466
268	170	464
269	171	463
270	171	461
271	171	460
272	172	458
273	172	457
274	172	455
275	173	454
276	173	453
277	174	452
278	174	450
279	174	449
280	175	448
281	175	446
282	175	445
283	176	444
284	176	443
285	177	441
286	177	440
287	177	439
288	178	438
289	178	436
290	178	435
291	179	434
292	179	432
293	179	431
294	180	430
295	180	429
296	180	427
297	181	426
298	181	425
299	181	423
300	181	422
301	182	421
302	182	420
303	182	418
304	183	417
305	183	416
306	183	415
307	184	413
308	184	412
309	184	411
310	185	410
311	185	409
312	185	407
313	186	406
314	186	405
315	186	404
316	187	403
317	187	402
318	187	400
319	188	399
320	188	398
321	188	397
322	189	396
323	189	395
324	190	394
325	190	393
326	190	392
327	191	391
328	191	390
329	191	389
330	192	388
331	192	387
332	192	386
333	193	385
334	193	384
335	194	383
336	194	382
337	194	381
338	195	380
339	195	379
340	195	378
341	195	377
342	196	375
343	196	374
344	196	373
345	197	372
346	197	371
347	197	370
348	198	369
349	198	368
350	198	367
351	199	366
352	199	365
353	199	364
354	200	363
355	200	362
356	200	361
357	201	360
358	201	359
359	201	358
360	202	357
361	202	356
362	202	355
363	203	354
364	203	353
365	203	353
366	204	352
367	204	351
368	204	350
369	205	349
370	205	348
371	205	347
372	206	346
373	206	345
374	206	344
375	207	344
376	207	343
377	208	342
378	208	341
379	208	340
380	209	339
381	209	339
382	209	338
383	210	337
384	210	336
385	210	335
386	211	334
387	211	333
388	212	332
389	212	332
390	212	331
391	213	330
392	213	329
393	213	328
394	214	327
395	214	326
396	214	326
397	215	325
398	215	324
399	215	323
400	216	322
401	216	321
402	216	321
403	217	320
404	217	319
405	217	318
406	217	317
407	218	316
408	218	315
409	218	314
410	219	314
411	219	313
412	219	312
413	220	311
414	220	310
415	220	309
416	221	309
417	221	308
418	221	307
419	222	306
420	222	306
421	222	305
422	223	305
423	224	304
424	224	303
425	224	302
426	225	302
427	225	301
428	225	300
429	226	299
430	226	298
431	226	298
432	227	297
433	227	296
434	227	296
435	228	295
436	228	294
437	228	293
438	229	292
439	229	292
440	229	291
441	230	290
442	230	290
443	231	289
444	231	288
445	231	288
446	232	287
447	232	286
448	232	285
449	233	285
450	233	284
451	233	283
452	234	282
453	234	281
454	234	281
455	235	280
456	235	279
457	235	279
458	236	278
459	236	277
460	236	277
461	237	276
462	237	275
463	238	274
464	238	274
465	238	273
466	239	273
467	239	272
468	240	271
469	240	271
470	240	270
471	241	269
472	241	268
473	241	268
474	242	267
475	242	266
476	242	266
477	243	265
478	243	264
479	243	264
480	244	263
481	244	262
482	244	262
483	245	261
484	245	260
485	245	259
486	246	259
487	246	258
488	246	257
489	247	257
490	247	256
491	247	255
492	248	255
493	248	254
494	248	253
495	249	253
496	249	252
497	249	251
498	250	251
499	250	250
500	250	249
501	251	249
502	251	248
503	251	247
504	252	247
505	252	246
506	253	246
507	253	245
508	253	244
509	254	244
510	254	243
511	255	243
512	255	242
513	255	241
514	256	241
515	256	240
516	257	240
517	257	239
518	257	239
519	258	238
520	258	237
521	259	237
522	259	236
523	259	236
524	260	235
525	260	234
526	260	234
527	261	233
528	261	233
529	262	232
530	262	231
531	262	231
532	263	230
533	263	229
534	263	229
535	264	228
536	264	228
537	264	227
538	265	226
539	265	226
540	265	225
541	266	224
542	266	224
543	266	223
544	267	223
545	267	222
546	268	221
547	268	221
548	268	220
549	269	220
550	269	219
551	269	219
552	270	218
553	270	217
554	271	217
555	271	216
556	271	216
557	272	215
558	272	215
559	273	214
560	273	213
561	273	213
562	274	212
563	274	212
564	274	211
565	275	211
566	275	210
567	275	209
568	276	209
569	276	208
570	277	208
571	277	207
572	277	207
573	278	206
574	278	205
575	278	205
576	279	204
577	279	204
578	279	203
579	280	202
580	280	202
581	280	201
582	281	201
583	281	200
584	281	199
585	282	199
586	282	198
587	282	198
588	283	197
589	283	197
590	284	196
591	284	196
592	284	195
593	285	194
594	285	194
595	285	193
596	286	193
597	286	192
598	287	192
599	287	191
600	287	191
601	288	190
602	288	190
603	288	189
604	289	188
605	289	188
606	289	187
607	290	187
608	290	186
609	290	186
610	291	185
611	291	184
612	291	184
613	292	183
614	292	183
615	292	182
616	293	182
617	293	181
618	293	180
619	294	180
620	294	179
621	294	179
622	295	178
623	295	178
624	295	177
625	296	176
626	296	176
627	296	175
628	297	175
629	297	174
630	297	174
631	298	173
632	298	173
633	298	172
634	299	172
635	299	171
636	300	170
637	300	170
638	301	170
639	301	169
640	301	169
641	302	168
642	302	168
643	303	167
644	303	167
645	303	166
646	304	165
647	304	165
648	304	164
649	305	164
650	305	163
651	305	163
652	306	162
653	306	162
654	306	161
655	307	161
656	307	160
657	307	160
658	308	159
659	308	158
660	308	158
661	309	157
662	309	157
663	309	156
664	310	156
665	310	155
666	310	155
667	311	154
668	311	154
669	311	153
